id,배지 이름,배지 설명,배지 타입,희귀도,거리(km),고도(m),속도(km/h),온도(°C),시간(분),연속(일),주기_조건,특수조건,선행_배지
373,동장군의 친구,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(혹한),common,,,,-10,,,,,
374,동장군의 친구,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(혹한),rare,,,,-12,,,,,"작심삼일의 파괴자,동네 산책러"
375,동장군의 친구,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(혹한),legendary,,,,-14,,,,,"작심삼일의 파괴자,동네 산책러"
376,동장군의 친구,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(혹한),mythic,,,,-16,,,,,"작심삼일의 파괴자,동네 산책러"
377,혹한의 심장,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(혹한),common,,,,-15,,,,,
378,혹한의 심장,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(혹한),rare,,,,-17,,,,,"작심삼일의 파괴자,동네 산책러"
379,혹한의 심장,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(혹한),legendary,,,,-19,,,,,"작심삼일의 파괴자,동네 산책러"
380,혹한의 심장,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(혹한),mythic,,,,-21,,,,,"작심삼일의 파괴자,동네 산책러"
381,얼음꽃의 주인,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(혹한),common,,,,-20,,,,,
382,얼음꽃의 주인,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(혹한),rare,,,,-22,,,,,"작심삼일의 파괴자,동네 산책러"
383,얼음꽃의 주인,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(혹한),legendary,,,,-24,,,,,"작심삼일의 파괴자,동네 산책러"
384,얼음꽃의 주인,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(혹한),mythic,,,,-26,,,,,"작심삼일의 파괴자,동네 산책러"
385,눈보라의 지배자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(혹한),common,,,,-25,,,,,
386,눈보라의 지배자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(혹한),rare,,,,-27,,,,,"작심삼일의 파괴자,동네 산책러"
387,눈보라의 지배자,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(혹한),legendary,,,,-29,,,,,"작심삼일의 파괴자,동네 산책러"
388,눈보라의 지배자,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(혹한),mythic,,,,-31,,,,,"작심삼일의 파괴자,동네 산책러"
389,태양의 입맞춤,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(폭염),common,,,,26,,,,,
390,태양의 입맞춤,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(폭염),rare,,,,27,,,,,"작심삼일의 파괴자,동네 산책러"
391,태양의 입맞춤,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(폭염),legendary,,,,28,,,,,"작심삼일의 파괴자,동네 산책러"
392,태양의 입맞춤,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(폭염),mythic,,,,29,,,,,"작심삼일의 파괴자,동네 산책러"
393,끓어오르는 땀방울,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(폭염),common,,,,29,,,,,
394,끓어오르는 땀방울,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(폭염),rare,,,,30,,,,,"작심삼일의 파괴자,동네 산책러"
395,끓어오르는 땀방울,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(폭염),legendary,,,,31,,,,,"작심삼일의 파괴자,동네 산책러"
396,끓어오르는 땀방울,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(폭염),mythic,,,,32,,,,,"작심삼일의 파괴자,동네 산책러"
397,아지랑이 헌터,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(폭염),common,,,,32,,,,,
398,아지랑이 헌터,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(폭염),rare,,,,33,,,,,"작심삼일의 파괴자,동네 산책러"
399,아지랑이 헌터,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(폭염),legendary,,,,34,,,,,"작심삼일의 파괴자,동네 산책러"
400,아지랑이 헌터,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(폭염),mythic,,,,35,,,,,"작심삼일의 파괴자,동네 산책러"
401,태양을 쫓는 자,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(폭염),common,,,,35,,,,,
402,태양을 쫓는 자,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(폭염),rare,,,,36,,,,,"작심삼일의 파괴자,동네 산책러"
403,태양을 쫓는 자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(폭염),legendary,,,,37,,,,,"작심삼일의 파괴자,동네 산책러"
404,태양을 쫓는 자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(폭염),mythic,,,,38,,,,,"작심삼일의 파괴자,동네 산책러"
405,불꽃의 발걸음,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(폭염),common,,,,38,,,,,
406,불꽃의 발걸음,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(폭염),rare,,,,39,,,,,"작심삼일의 파괴자,동네 산책러"
407,불꽃의 발걸음,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(폭염),legendary,,,,40,,,,,"작심삼일의 파괴자,동네 산책러"
408,불꽃의 발걸음,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(폭염),mythic,,,,41,,,,,"작심삼일의 파괴자,동네 산책러"
409,용광로의 심장,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(폭염),common,,,,41,,,,,
410,용광로의 심장,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(폭염),rare,,,,42,,,,,"작심삼일의 파괴자,동네 산책러"
411,용광로의 심장,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(폭염),legendary,,,,43,,,,,"작심삼일의 파괴자,동네 산책러"
412,용광로의 심장,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(폭염),mythic,,,,44,,,,,"작심삼일의 파괴자,동네 산책러"
413,타오르는 투지,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(폭염),common,,,,44,,,,,
414,타오르는 투지,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(폭염),rare,,,,45,,,,,"작심삼일의 파괴자,동네 산책러"
415,타오르는 투지,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(폭염),legendary,,,,46,,,,,"작심삼일의 파괴자,동네 산책러"
416,타오르는 투지,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(폭염),mythic,,,,47,,,,,"작심삼일의 파괴자,동네 산책러"
417,폭염의 정복자,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(폭염),common,,,,47,,,,,
418,폭염의 정복자,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(폭염),rare,,,,48,,,,,"작심삼일의 파괴자,동네 산책러"
419,폭염의 정복자,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(폭염),legendary,,,,49,,,,,"작심삼일의 파괴자,동네 산책러"
420,폭염의 정복자,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(폭염),mythic,,,,50,,,,,"작심삼일의 파괴자,동네 산책러"
421,주간의 땀방울,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,기간제(주간),common,,,,,,,해당 주 2회 활동,,
422,주간의 땀방울,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
423,주간의 땀방울,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
424,주간의 땀방울,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
425,일곱 번의 해돋이,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,기간제(주간),common,,,,,,,해당 주 2회 활동,,
426,일곱 번의 해돋이,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
427,일곱 번의 해돋이,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
428,일곱 번의 해돋이,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
429,루틴의 마술사,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",기간제(주간),common,,,,,,,해당 주 2회 활동,,
430,루틴의 마술사,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
431,루틴의 마술사,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
432,루틴의 마술사,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
433,위클리 챌린저,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,기간제(주간),common,,,,,,,해당 주 2회 활동,,
434,위클리 챌린저,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
435,위클리 챌린저,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
436,위클리 챌린저,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
437,7일의 기적,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,기간제(주간),common,,,,,,,해당 주 2회 활동,,
438,7일의 기적,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
439,7일의 기적,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
440,7일의 기적,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
441,주간의 정복자,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,기간제(주간),common,,,,,,,해당 주 2회 활동,,
442,주간의 정복자,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
443,주간의 정복자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
444,주간의 정복자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
445,월화수목금토일,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,기간제(주간),common,,,,,,,해당 주 2회 활동,,
446,월화수목금토일,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
447,월화수목금토일,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
448,월화수목금토일,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
449,성실함의 증명,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",기간제(주간),common,,,,,,,해당 주 2회 활동,,
450,성실함의 증명,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
451,성실함의 증명,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
452,성실함의 증명,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
453,주간 마일리지,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,기간제(주간),common,,,,,,,해당 주 2회 활동,,
454,주간 마일리지,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
455,주간 마일리지,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
456,주간 마일리지,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
457,쉼 없는 일주일,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,기간제(주간),common,,,,,,,해당 주 2회 활동,,
458,쉼 없는 일주일,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
459,쉼 없는 일주일,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
460,쉼 없는 일주일,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
461,금주의 MVP,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,기간제(주간),common,,,,,,,해당 주 2회 활동,,
462,금주의 MVP,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
463,금주의 MVP,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
464,금주의 MVP,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
465,주간의 방랑자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,기간제(주간),common,,,,,,,해당 주 2회 활동,,
466,주간의 방랑자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
467,주간의 방랑자,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
468,주간의 방랑자,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
469,일주일의 유산,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",기간제(주간),common,,,,,,,해당 주 2회 활동,,
470,일주일의 유산,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,기간제(주간),rare,,,,,,,해당 주 3회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
471,일주일의 유산,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,기간제(주간),legendary,,,,,,,해당 주 4회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
472,일주일의 유산,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,기간제(주간),mythic,,,,,,,해당 주 5회 활동,,"동네 산책러,첫 숨결,두 바퀴의 시작"
473,1월: 혹한의 도전자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,기간제(월간),common,,,,,,,1월,월 누적 10km,
474,1월: 혹한의 도전자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",기간제(월간),rare,,,,,,,1월,월 누적 20km,"동네 산책러,첫 숨결,두 바퀴의 시작"
475,1월: 혹한의 도전자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,기간제(월간),legendary,,,,,,,1월,월 누적 30km,"동네 산책러,첫 숨결,두 바퀴의 시작"
476,1월: 혹한의 도전자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,기간제(월간),mythic,,,,,,,1월,월 누적 40km,"동네 산책러,첫 숨결,두 바퀴의 시작"
477,2월: 해빙의 발자국,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,기간제(월간),common,,,,,,,2월,월 누적 10km,
478,2월: 해빙의 발자국,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",기간제(월간),rare,,,,,,,2월,월 누적 20km,"동네 산책러,첫 숨결,두 바퀴의 시작"
479,2월: 해빙의 발자국,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",기간제(월간),legendary,,,,,,,2월,월 누적 30km,"동네 산책러,첫 숨결,두 바퀴의 시작"
480,2월: 해빙의 발자국,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,기간제(월간),mythic,,,,,,,2월,월 누적 40km,"동네 산책러,첫 숨결,두 바퀴의 시작"
481,3월: 새싹의 파수꾼,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,기간제(월간),common,,,,,,,3월,월 누적 10km,
482,3월: 새싹의 파수꾼,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,기간제(월간),rare,,,,,,,3월,월 누적 20km,"동네 산책러,첫 숨결,두 바퀴의 시작"
483,3월: 새싹의 파수꾼,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,기간제(월간),legendary,,,,,,,3월,월 누적 30km,"동네 산책러,첫 숨결,두 바퀴의 시작"
484,3월: 새싹의 파수꾼,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",기간제(월간),mythic,,,,,,,3월,월 누적 40km,"동네 산책러,첫 숨결,두 바퀴의 시작"
485,4월: 벚꽃의 방랑자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,기간제(월간),common,,,,,,,4월,월 누적 10km,
486,4월: 벚꽃의 방랑자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,기간제(월간),rare,,,,,,,4월,월 누적 20km,"동네 산책러,첫 숨결,두 바퀴의 시작"
487,4월: 벚꽃의 방랑자,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,기간제(월간),legendary,,,,,,,4월,월 누적 30km,"동네 산책러,첫 숨결,두 바퀴의 시작"
